팀명,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
LG,144,72,58,32,81,0.554,1272 1/3,1126,80,545,98,1068,561,505,1.31
KT,144,76,59,33,74,0.563,1264,1176,86,489,42,1062,584,515,1.32
두산,144,71,65,28,61,0.522,1269 1/3,1295,104,587,73,1045,656,601,1.48
삼성,144,76,59,46,80,0.563,1259,1297,131,530,51,1038,658,601,1.45
키움,144,70,67,30,56,0.511,1263 1/3,1281,101,566,80,900,700,605,1.46
NC,144,67,68,33,80,0.496,1256 2/3,1268,125,592,77,1055,697,634,1.48
한화,144,49,83,21,62,0.371,1258 2/3,1208,115,673,101,1011,739,650,1.49
SSG,144,66,64,25,56,0.508,1276 2/3,1296,149,629,78,1012,741,684,1.51
KIA,144,58,76,36,94,0.433,1269,1286,134,622,104,951,752,690,1.5
롯데,144,65,71,37,76,0.478,1271,1333,133,659,87,1054,808,758,1.57
