player_id,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
74540,강민호,삼성,125,7,6,1,85.7,5,0
53460,강준서,삼성,10,1,0,1,0.0,0,0
64610,강한울,삼성,72,4,1,3,25.0,1,0
68407,공민규,삼성,22,0,0,0,-,1,0
62404,구자욱,삼성,119,16,12,4,75.0,4,2
61365,김대우,삼성,1,0,0,0,-,0,0
69442,김도환,삼성,9,0,0,0,-,0,0
66838,김동엽,삼성,69,2,1,1,50.0,2,0
51403,김동진,삼성,44,3,3,0,100,2,1
64793,김민수,삼성,2,0,0,0,-,0,0
52402,김상민,삼성,8,0,0,0,-,0,0
52460,김서준,삼성,1,0,0,0,-,0,0
67449,김성윤,삼성,101,24,20,4,83.3,1,0
52430,김영웅,삼성,55,1,1,0,100,0,0
53400,김재상,삼성,17,0,0,0,-,0,0
65132,김재성,삼성,57,1,0,1,0.0,0,0
50458,김지찬,삼성,99,14,13,1,92.9,4,1
62360,김태훈,삼성,2,0,0,0,-,0,0
65040,김태훈,삼성,11,1,0,1,0.0,0,0
61404,김헌곤,삼성,6,0,0,0,-,0,0
51417,김현준,삼성,109,10,5,5,50.0,4,1
64407,김호재,삼성,75,2,2,0,100,0,1
53404,류승민,삼성,24,0,0,0,-,1,0
62234,류지혁,삼성,132,28,26,2,92.9,7,2
64469,송준석,삼성,7,0,0,0,-,0,0
66406,안주형,삼성,53,0,0,0,-,2,0
75421,오승환,삼성,3,0,0,0,-,0,0
75334,오재일,삼성,106,1,1,0,100,3,1
68463,윤정빈,삼성,28,1,1,0,100,1,0
69428,이병헌,삼성,23,0,0,0,-,0,0
63960,이상민,삼성,1,0,0,0,-,0,0
66409,이성규,삼성,109,7,4,3,57.1,1,0
51454,이승현,삼성,2,0,0,0,-,0,0
60146,이승현,삼성,2,0,0,0,-,0,0
63492,이재익,삼성,1,0,0,0,-,0,0
52415,이재현,삼성,143,9,5,4,55.6,8,0
68466,이태훈,삼성,12,0,0,0,-,0,0
69416,이해승,삼성,9,0,0,0,-,0,0
52405,조민성,삼성,15,1,0,1,0.0,2,0
51463,피렐라,삼성,139,10,6,4,60.0,7,1
