player_id,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
72523,고효준,SSG,투수,45,0,38 2/3,1,0,3,4,0,0.875,0,0,0,-
71837,김강민,SSG,중견수,60,35,341,0,0,85,0,0,1.0,0,0,0,-
51867,김건우,SSG,투수,2,1,3,0,0,0,0,0,-,0,0,0,-
77829,김광현,SSG,투수,28,28,173 1/3,2,1,6,30,1,0.947,0,0,0,-
69810,김규남,SSG,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-
69810,김규남,SSG,우익수,1,1,8,0,0,4,0,0,1.000,0,0,0,-
62864,김민식,SSG,포수,98,64,595,5,3,462,50,3,0.99,3,39,17,30.4
76430,김상수,SSG,투수,8,0,8,0,0,1,1,0,1.000,0,0,0,-
76802,김성현,SSG,2루수,105,67,649,7,0,131,230,58,0.981,0,0,0,-
76802,김성현,SSG,유격수,20,11,94 1/3,1,0,16,32,7,0.980,0,0,0,-
76802,김성현,SSG,3루수,18,10,111 1/3,4,0,12,23,2,0.897,0,0,0,-
64499,김재현,SSG,2루수,4,0,4,0,0,0,0,0,-,0,0,0,-
64499,김재현,SSG,유격수,5,0,6,0,0,1,3,0,1.000,0,0,0,-
64499,김재현,SSG,3루수,9,6,49,1,0,4,6,0,0.909,0,0,0,-
65411,김주온,SSG,투수,5,0,4,0,0,1,0,0,1.000,0,0,0,-
79847,김태훈,SSG,투수,9,0,5 1/3,0,0,0,2,0,1.000,0,0,0,-
65343,김택형,SSG,투수,64,0,60 1/3,1,0,3,6,0,0.9,0,0,0,-
73211,노경은,SSG,투수,41,8,79 2/3,0,0,8,11,0,1.0,0,0,0,-
52833,노바,SSG,투수,12,12,63 2/3,1,0,6,2,1,0.889,0,0,0,-
52806,라가레스,SSG,좌익수,46,46,394 2/3,2,0,97,2,0,0.98,0,0,0,-
52808,모리만도,SSG,투수,12,12,75 1/3,1,0,0,9,0,0.900,0,0,0,-
62869,문승원,SSG,투수,23,0,24 2/3,0,0,2,3,0,1.000,0,0,0,-
64893,박민호,SSG,투수,22,0,22,0,0,1,3,1,1.000,0,0,0,-
67893,박성한,SSG,유격수,138,131,1176,24,0,215,376,97,0.961,0,0,0,-
50812,박시후,SSG,투수,2,0,1,0,0,0,0,0,-,0,0,0,-
60841,박종훈,SSG,투수,11,11,48,4,0,5,8,0,0.765,0,0,0,-
64896,서동민,SSG,투수,20,0,21,2,1,0,1,0,0.333,0,0,0,-
61895,서진용,SSG,투수,68,0,67 1/3,0,2,6,10,0,1.0,0,0,0,-
52804,석정우,SSG,유격수,3,1,7 1/3,0,0,1,2,0,1.000,0,0,0,-
52804,석정우,SSG,2루수,3,1,9 1/3,0,0,4,4,2,1.000,0,0,0,-
52804,석정우,SSG,3루수,3,1,9,0,0,1,3,1,1.000,0,0,0,-
62937,신재영,SSG,투수,4,0,4 1/3,0,0,0,1,0,1.000,0,0,0,-
52873,신헌민,SSG,투수,1,0,1,0,0,0,0,0,-,0,0,0,-
66864,안상현,SSG,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
66864,안상현,SSG,유격수,1,0,2,0,0,0,0,0,-,0,0,0,-
66864,안상현,SSG,3루수,1,0,1,0,0,0,1,0,1.000,0,0,0,-
66864,안상현,SSG,2루수,30,9,103,1,0,21,42,10,0.984,0,0,0,-
50859,오원석,SSG,투수,31,24,144,2,0,7,18,2,0.926,0,0,0,-
61743,오준혁,SSG,우익수,17,8,64,0,0,14,0,0,1.000,0,0,0,-
61743,오준혁,SSG,좌익수,8,4,29 1/3,0,0,3,2,0,1.000,0,0,0,-
60558,오태곤,SSG,우익수,16,3,42 1/3,0,0,15,1,0,1.000,0,0,0,-
60558,오태곤,SSG,1루수,45,9,129 1/3,0,0,111,15,12,1.0,0,0,0,-
60558,오태곤,SSG,좌익수,81,50,488,1,0,117,7,1,0.992,0,0,0,-
60558,오태곤,SSG,3루수,1,0,2,0,0,0,1,0,1.000,0,0,0,-
60558,오태곤,SSG,중견수,5,1,12,0,0,0,0,0,-,0,0,0,-
52867,윤태현,SSG,투수,3,0,2,0,0,0,0,0,-,0,0,0,-
64861,이건욱,SSG,투수,1,1,3,0,0,0,0,0,-,0,0,0,-
76812,이재원,SSG,포수,100,78,660 1/3,4,0,567,20,8,0.993,0,55,6,9.8
67807,이정범,SSG,좌익수,1,1,4,0,0,0,0,0,-,0,0,0,-
67807,이정범,SSG,우익수,2,2,14,1,0,5,1,0,0.857,0,0,0,-
60768,이태양,SSG,투수,30,17,112,1,1,5,12,0,0.944,0,0,0,-
65869,이현석,SSG,포수,9,3,35,1,0,25,2,1,0.964,0,3,1,25.0
63440,이흥련,SSG,포수,22,15,139,0,0,109,5,1,1.000,0,14,1,6.7
51895,장지훈,SSG,투수,40,0,55,1,0,3,13,2,0.941,0,0,0,-
52809,전영준,SSG,투수,4,1,5,0,0,0,1,0,1.000,0,0,0,-
50820,전의산,SSG,1루수,62,56,477 2/3,8,0,441,29,39,0.983,0,0,0,-
65058,정성곤,SSG,투수,2,0,2 2/3,0,0,1,0,0,1.000,0,0,0,-
51809,조요한,SSG,투수,23,0,19 1/3,0,0,0,0,0,-,0,0,0,-
51865,조형우,SSG,포수,5,1,20,0,0,19,0,0,1.000,2,3,0,0.0
69802,최경모,SSG,2루수,28,5,76,0,0,17,20,2,1.0,0,0,0,-
69802,최경모,SSG,3루수,62,9,157 2/3,3,0,15,35,1,0.943,0,0,0,-
69802,최경모,SSG,유격수,8,0,15 2/3,1,0,4,8,3,0.923,0,0,0,-
68856,최민준,SSG,투수,51,1,68 1/3,1,2,6,10,0,0.941,0,0,0,-
68805,최상민,SSG,우익수,13,0,22,0,0,10,0,0,1.000,0,0,0,-
68805,최상민,SSG,좌익수,6,2,22,0,0,5,0,0,1.000,0,0,0,-
68805,최상민,SSG,중견수,4,1,14,0,0,8,0,0,1.000,0,0,0,-
75847,최정,SSG,3루수,117,115,958 1/3,12,0,71,170,12,0.953,0,0,0,-
76267,최주환,SSG,1루수,24,18,157 2/3,4,0,143,14,20,0.975,0,0,0,-
76267,최주환,SSG,2루수,63,58,435,7,0,81,131,23,0.968,0,0,0,-
68868,최준우,SSG,2루수,6,4,25,1,0,9,11,3,0.952,0,0,0,-
50854,최지훈,SSG,중견수,114,106,921 2/3,1,0,241,8,2,0.996,0,0,0,-
50854,최지훈,SSG,좌익수,27,18,166 1/3,0,0,41,1,0,1.0,0,0,0,-
50854,최지훈,SSG,우익수,39,14,151 1/3,0,0,42,2,0,1.0,0,0,0,-
62884,최항,SSG,1루수,3,0,3,0,0,2,0,0,1.000,0,0,0,-
62884,최항,SSG,3루수,3,2,13,0,0,0,2,1,1.000,0,0,0,-
51817,추신수,SSG,우익수,2,2,17,0,0,4,0,0,1.000,0,0,0,-
52827,크론,SSG,1루수,63,61,533 2/3,3,0,542,43,54,0.995,0,0,0,-
51863,폰트,SSG,투수,28,28,184,1,0,4,16,0,0.952,0,0,0,-
69813,하재훈,SSG,좌익수,40,23,194,1,0,44,3,0,0.979,0,0,0,-
69813,하재훈,SSG,중견수,5,1,12 2/3,0,0,1,0,0,1.000,0,0,0,-
69813,하재훈,SSG,우익수,1,0,3,0,0,0,0,0,-,0,0,0,-
68092,한두솔,SSG,투수,8,0,5 1/3,0,0,0,1,0,1.000,0,0,0,-
62895,한유섬,SSG,우익수,120,114,979 2/3,0,0,210,4,0,1.0,0,0,0,-
